capacity_mw,generation_gwh_2016,generation_gwh_2017,generation_gwh_2015,generation_gwh_2018,generation_gwh_2014,generation_gwh_2013,primary_fuel,estimated_generation_gwh_2015,estimated_generation_gwh_2014,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2016,source,longitude,geolocation_source,owner,plant_age_years,year_of_capacity_data,latitude,estimated_generation_gwh_2017
33.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,97.39,162.9,11.7585,123.77,137.76,254,65.119,10,8800,17.0,2017.0,32.322,119.5
10.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,18.25,17.48,11.7585,18.43,17.7,773,65.795,28,8800,17.0,2019.0,31.67,18.29
10.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,19.1,17.58,11.7585,18.64,17.62,773,65.792,28,8800,17.0,2019.0,31.623,18.72
66.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,146.9,203.55,11.7585,225.06,230.18,254,69.4787,10,8800,17.0,2017.0,34.556,174.91
100.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,270.99,357.22,11.7585,406.16,395.38,254,69.717,10,8800,17.0,2017.0,34.641,350.8
11.55,22.563,18.273,26.0715,13.0125,23.489,23.095,3,42.71,54.42,11.7585,58.77,59.72,254,70.3633,10,8800,17.0,2017.0,34.4847,46.12
6.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,18.4,21.19,11.7585,21.99,25.34,254,68.71,10,8800,17.0,2017.0,35.9416,19.74
22.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,69.15,82.87,11.7585,123.23,93.83,254,69.7757,10,8800,17.0,2017.0,34.5865,80.0
27.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,79.5,75.26,11.7585,105.17,105.45,205,20.1047,10,8800,59.0,2019.0,39.9116,88.45
500.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,1503.72,1276.61,11.7585,1976.01,1795.15,205,20.0431,10,8800,46.0,2019.0,42.2514,1648.24
600.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,1805.63,1618.73,11.7585,2072.13,2434.84,205,19.8224,10,8800,39.0,2019.0,42.1033,1982.72
5.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,14.64,12.89,11.7585,20.37,20.04,205,19.8964,10,8800,73.0,2019.0,41.3428,15.23
24.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,77.51,69.86,11.7585,93.52,96.2,205,19.8305,10,8800,61.0,2019.0,41.6796,83.57
25.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,80.74,72.77,11.7585,97.42,100.21,205,19.8936,10,8800,66.0,2019.0,41.6796,87.06
250.0,22.563,18.273,26.0715,13.0125,23.489,23.095,3,614.47,561.94,11.7585,895.02,897.47,205,19.6359,10,8800,53.0,2019.0,42.0137,703.64
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,34.22,35.22,11.7585,27.62,35.33,773,-0.317,28,8800,17.0,2019.0,27.908,35.17
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,37.56,38.68,11.7585,27.62,38.37,773,5.475,28,8800,17.0,2019.0,35.88,38.75
520.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.0262,13,7599,17.0,2019.0,35.8665,2171.28
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,33.67,34.85,11.7585,27.62,34.54,773,0.804,28,8800,17.0,2019.0,34.532,35.46
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,33.58,33.42,11.7585,27.62,34.75,773,3.164,28,8800,17.0,2019.0,34.346,34.81
53.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,81.84,80.98,11.7585,27.62,85.66,773,3.169,28,8800,17.0,2019.0,34.342,85.55
20.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,33.68,33.64,11.7585,27.62,33.63,773,4.204,28,8800,17.0,2019.0,34.861,33.75
43.5,22.563,18.273,26.0715,13.0125,23.489,23.095,7,72.11,73.79,11.7585,27.62,74.36,773,-0.317,28,8800,17.0,2019.0,27.908,74.02
71.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,7.7634,10,7600,14.0,2019.0,36.8924,296.46
5.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,8.71,8.93,11.7585,27.62,8.72,773,1.3351,28,8800,17.0,2019.0,26.9989,8.64
560.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,3.1375,10,7805,14.0,2019.0,36.5988,2338.3
10.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,16.85,17.31,11.7585,27.62,17.16,773,8.565,28,8800,17.0,2019.0,31.285,16.67
100.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,2.9223,10,8800,44.0,2019.0,36.5914,417.55
450.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,2.878,13,8800,8.0,2019.0,36.596,1878.99
450.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,-0.9386,10,8800,8.0,2019.0,35.5658,1878.99
15.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,28.61,28.56,11.7585,27.62,28.69,773,6.11,28,8800,17.0,2019.0,36.225,28.34
60.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,95.17,96.03,11.7585,27.62,93.44,773,2.811,28,8800,17.0,2019.0,33.727,95.16
292.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,7.3619,10,7807,17.0,2019.0,35.7666,1219.25
30.0,22.563,18.273,26.0715,13.0125,23.489,23.095,7,47.99,49.38,11.7585,27.62,50.88,773,5.834,28,8800,17.0,2019.0,32.602,48.72
1200.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,2.0797,10,7399,15.0,2019.0,36.5767,5010.64
418.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,3.0823,10,7807,17.0,2019.0,36.7489,1745.37
72.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.0531,13,7806,11.0,2019.0,31.6703,300.63
600.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.0531,13,7806,9.0,2019.0,31.6703,2505.32
200.0,22.563,18.273,26.0715,13.0125,23.489,23.095,1,26.83,28.25,11.7585,27.62,27.555,33,6.0517,10,7806,36.0,2019.0,31.7877,835.1
